sodium,brand,bottle
24.4,1,1
22.6,1,2
23.8,1,3
22,1,4
24.5,1,5
22.3,1,6
25,1,7
24.5,1,8
10.2,2,1
12.1,2,2
10.3,2,3
10.2,2,4
9.9,2,5
11.2,2,6
12,2,7
9.5,2,8
19.2,3,1
19.4,3,2
19.8,3,3
19,3,4
19.6,3,5
18.3,3,6
20,3,7
19.4,3,8
17.4,4,1
18.1,4,2
16.7,4,3
18.3,4,4
17.6,4,5
17.5,4,6
18,4,7
16.4,4,8
13.4,5,1
15,5,2
14.1,5,3
13.1,5,4
14.9,5,5
15,5,6
13.4,5,7
14.8,5,8
21.3,6,1
20.2,6,2
20.7,6,3
20.8,6,4
20.1,6,5
18.8,6,6
21.1,6,7
20.3,6,8
19.4,7,1
17.4,7,2
18.1,7,3
16.7,7,4
18.3,7,5
17.6,7,6
17.5,7,7
18,7,8
16.4,8,1
13.4,8,2
15,8,3
14.1,8,4
13.1,8,5
14.9,8,6
15,8,7
13.4,8,8
14.8,9,1
20.2,9,2
20.7,9,3
20.8,9,4
20.1,9,5
18.8,9,6
21.1,9,7
20.3,9,8
